Ground Camera to Satellite Center Distance Analysis
============================================================

Total samples: 33569
Valid projections: 30100
Success rate: 89.67%

Distance Statistics (pixels):
  Mean: 18.19 ± 19.23
  Median: 9.84
  Min: 0.00
  Max: 98.01

Individual Results:
  Sample 0: 2.02 pixels
  Sample 1: 5.73 pixels
  Sample 2: 0.62 pixels
  Sample 3: 1.76 pixels
  Sample 4: 2.78 pixels
  Sample 5: 29.42 pixels
  Sample 6: 40.25 pixels
  Sample 7: 38.53 pixels
  Sample 8: 29.33 pixels
  Sample 9: 25.19 pixels
  Sample 10: 23.34 pixels
  Sample 11: 5.56 pixels
  Sample 12: 16.20 pixels
  Sample 13: 11.72 pixels
  Sample 14: 2.24 pixels
  Sample 15: 53.03 pixels
  Sample 16: 55.68 pixels
  Sample 17: 50.67 pixels
  Sample 18: 12.79 pixels
  Sample 19: 15.16 pixels
  Sample 20: 15.91 pixels
  Sample 21: 9.72 pixels
  Sample 22: 12.69 pixels
  Sample 23: 4.66 pixels
  Sample 24: 10.46 pixels
  Sample 25: 7.22 pixels
  Sample 26: 48.24 pixels
  Sample 27: 10.04 pixels
  Sample 28: 2.74 pixels
  Sample 29: 16.85 pixels
  Sample 30: 8.91 pixels
  Sample 31: 8.48 pixels
  Sample 32: 13.46 pixels
  Sample 33: 6.78 pixels
  Sample 34: 11.40 pixels
  Sample 35: 16.41 pixels
  Sample 36: 27.36 pixels
  Sample 37: 13.53 pixels
  Sample 38: 6.21 pixels
  Sample 39: 3.07 pixels
  Sample 40: 3.48 pixels
  Sample 41: 3.24 pixels
  Sample 42: 1.67 pixels
  Sample 43: 2.24 pixels
  Sample 44: 0.56 pixels
  Sample 45: 1.24 pixels
  Sample 46: 1.15 pixels
  Sample 47: 7.95 pixels
  Sample 48: 2.48 pixels
  Sample 49: 5.01 pixels
  Sample 50: 4.18 pixels
  Sample 51: 1.57 pixels
  Sample 52: 0.28 pixels
  Sample 53: 1.67 pixels
  Sample 54: 27.77 pixels
  Sample 55: 27.44 pixels
  Sample 56: 12.96 pixels
  Sample 57: 12.15 pixels
  Sample 58: 11.18 pixels
  Sample 59: 8.70 pixels
  Sample 60: 23.37 pixels
  Sample 61: 5.67 pixels
  Sample 62: 8.78 pixels
  Sample 63: 5.80 pixels
  Sample 64: 42.99 pixels
  Sample 65: 49.79 pixels
  Sample 66: 38.01 pixels
  Sample 67: 34.98 pixels
  Sample 68: 15.55 pixels
  Sample 69: 14.76 pixels
  Sample 70: 9.49 pixels
  Sample 71: 10.00 pixels
  Sample 72: 8.34 pixels
  Sample 73: 16.12 pixels
  Sample 74: 23.39 pixels
  Sample 75: 28.46 pixels
  Sample 76: 30.74 pixels
  Sample 77: 27.36 pixels
  Sample 78: 39.83 pixels
